id,trigger,conditions,script,text,options,notes
sms_ConcealedStation,BeginSalvage,"$customType == sms_concealed_station
!$sms_ConcealedStationUsed score:10000",SetShortcut sms_oConcealedStationLeave ESCAPE,"During your preliminary survey of the station, you notice that one of its modules is nearly barren, save for a single hangar that appears to be some sort of experimental construction.

At a glance it seems incomplete, lacking any wires, monitoring devices, or tools of the sort one would expect to find in an orbital hangar. Nonetheless, the transparent landing plate is glowing, practically humming with some sort of arcane energy.

You could try to dock one of your ships here -- it's large enough to accommodate any ship in your fleet -- or you could leave it well alone and scrap the entire station for valuables.","
sms_oConcealedStationDock:Dock at the hangar
sms_oConcealedStationSalvage:Salvage the station
sms_oConcealedStationLeave:Leave
",
sms_ConcealedStationDock,DialogOptionSelected,$option == sms_oConcealedStationDock,sms_ConcealedStationInteraction,,,
sms_ConcealedStationDocked,sms_tConcealedStationDocked,,"SetShortcut sms_oConcealedStationLeave ESCAPE
AddTextSmall ""$sms_ShipName lost 100% combat readiness"" $sms_TextColor","You order the ship to dock at the mysterious hangar. As it lowers itself onto the glowing platform, a blinding veil of light encapsulates it.

Before you can change your mind, the light subsides, and the platform lies dormant.

There doesn't seem to be any external damage to your ship, but internal systems have gone haywire. Its scanners are picking up dozens of hostile ships at a distance of less than 10 meters, weapons are offline, engines are randomly stalling.

Your engineers reassure you that they will be able to get the ship back into working order, but it will take some time. It's unclear if your stunt caused any lasting damage or changes to the ship's operating capability.","
sms_oConcealedStationSalvage:Salvage the station
sms_oConcealedStationLeave:Leave
",
sms_ConcealedStationSalvage,DialogOptionSelected,$option == sms_oConcealedStationSalvage,"SalvageEntity showCost
FireAll PopulateSalvageOptions2",,,
sms_ConcealedStationLeave,DialogOptionSelected,$option == sms_oConcealedStationLeave,DismissDialog,,,
sms_InsuranceFleetBegin,BeginFleetEncounter,"$sms_InsuranceFleet score:1000
!$ignorePlayerCommRequests","AddText ""You're being hailed by the $faction $otherShipOrFleet."" $faction.baseColor
$hailing = true 0",,,
sms_InsuranceFleetComms,OpenCommLink,"$entity.sms_InsuranceFleet score:1000
!$entity.ignorePlayerCommRequests", "$entity.ignorePlayerCommRequests = true
SetShortcut cutCommLinkNoText ""ESCAPE""","""Greetings, captain $player.name,"" the bounty hunter begins. ""How are you enjoying your recent insurance payout?""

Before you can reply, $heOrShe continues, ""As you are well aware, Section 37.4 of the Unified FeBSure Insurance Terms states very clearly that under the protection of plan 3A -- that would be the Comprehensive Coverage Package -- you are to receive immediate and full compensation for any ship deemed a 'total loss' in exchange for the complete forfeiture of salvage rights.""

$HeOrShe pauses for a moment, perhaps searching for the right words, or perhaps wondering about the probability of a peaceful resolution.

""This clause should have precluded you from recovering and continuing to operate intact wrecks that were already filed as a 'total loss,' though, judging by my data here, that seems not to have been the case.""","sms_oNeverRead:""I was never given any contract to read.""
sms_oSoWhatNow:""So what now?""
cutCommLinkNoText:Cut the comms link and power up weapons",
sms_InsuranceFleetNeverRead,DialogOptionSelected,$option == sms_oNeverRead,,"""Well, I guess that's unfortunate,"" $heOrShe responds almost instantly, and in such a manner that you feel that this might not be the first time $heOrShe's used those exact words.",sms_oInsuranceContinue:Continue,
sms_InsuranceFleetSoWhatNow,DialogOptionSelected,$option == sms_oSoWhatNow,,"""Well, now I've come to collect.""",sms_oInsuranceContinue:Continue,
sms_InsuranceFleetCollect,DialogOptionSelected,$option == sms_oInsuranceContinue,"SetShortcut cutCommLinkNoText ""ESCAPE""
sms_InsuranceFraudListShips","""Here is a list of ships currently in your fleet for which you've claimed an insurance payout under the category 'total loss.'""

An image appears on your comms visual:","sms_oInsuranceForfeit:Forfeit the recovered ships
sms_oInsuranceRefuse:""No deal.""
cutCommLinkNoText:Cut the comms link and power up weapons",
sms_InsuranceForfeit,DialogOptionSelected,$option == sms_oInsuranceForfeit,sms_InsuranceFraudForfeit,"""Ah, I knew you'd see reason.""

You imagine a faint smile appearing over $hisOrHer lips as $heOrShe closes the comms on $hisOrHer end.",cutCommLinkNoText:Cut the comms link,
sms_InsuranceRefuse,DialogOptionSelected,$option == sms_oInsuranceRefuse,"SetShortcut cutCommLinkNoText ""ESCAPE""","""Then goodbye, $player.name.""",cutCommLinkNoText:Cut the comms link,
sms_CheckForFleet,DialogOptionSelected,!$global.sms_checkedForFleet score:99999999,"sms_CheckForFleetScript ""BEST""",,,
sms_CheckForFleetFireAllIntercept,FireAllIntercept,"$fireAllTrigger == DialogOptionSelected
!$global.sms_checkedForFleet score:99999999","sms_CheckForFleetScript ""ALL""",,,
sms_BlankConstructClicked,sms_tBlankConstructClicked,,sms_SuperconstructInteraction,,,
sms_KnowledgeCoreUplinkClicked,sms_tKnowledgeCoreUplinkClicked,,sms_KnowledgeCoreUplinkInteraction,,,
